16 5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15
2 0 1 3 4 5 6 7 8 9 10 11 12 13 14 15
3 0 1 2 4 5 6 7 8 9 10 11 12 13 14 15
4 0 1 2 3 5 6 7 8 9 10 11 12 13 14 15
5 0 1 2 3 4 6 7 8 9 10 11 12 13 14 15
6 0 1 2 3 4 5 7 8 9 10 11 12 13 14 15
7 0 1 2 3 4 5 6 8 9 10 11 12 13 14 15
8 0 1 2 3 4 5 6 7 9 10 11 12 13 14 15
9 0 1 2 3 4 5 6 7 8 10 11 12 13 14 15
10 0 1 2 3 4 5 6 7 8 9 11 12 13 14 15
11 0 1 2 3 4 5 6 7 8 9 10 12 13 14 15
12 0 1 2 3 4 5 6 7 8 9 11 10 13 14 15
13 0 1 2 3 4 5 6 7 8 9 11 12 10 14 15
14 0 1 2 3 4 5 6 7 8 9 11 12 13 10 15
15 0 1 2 3 4 5 6 7 8 9 11 12 13 10 14
