19 4
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2 0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
3 0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
4 0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18
5 0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18
6 0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18
7 0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18
8 0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18
9 0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18
10 0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18
11 0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18
12 0 1 2 3 4 5 6 7 8 9 11 10 13 14 15 16 17 18
13 0 1 2 3 4 5 6 7 8 9 11 12 10 14 15 16 17 18
14 0 1 2 3 4 5 6 7 8 9 11 12 13 10 15 16 17 18
15 0 1 2 3 4 5 6 7 8 9 11 12 13 10 14 16 17 18
16 0 1 2 3 4 5 6 7 8 9 11 12 13 10 14 15 17 18
17 0 1 2 3 4 5 6 7 8 9 11 12 13 10 14 15 16 18
18 0 1 2 3 4 5 6 7 8 9 11 12 13 10 14 15 16 17
